,date,dew_point,max_temp,max_temp_flag,min_temp,min_temp_flag,precip,precip_flag,sea_level_pressure
126,1947-02-12,25.7,40.3,*,27.3,*,0.0,I,1031.3
127,1947-02-13,28.4,42.4,*,28.4,*,0.0,I,1027.8
128,1947-02-14,34.9,46.4,*,35.4,*,0.0,I,1013.6
129,1947-02-15,29.3,36.3,*,30.4,*,99.99, ,1013.3
130,1947-02-16,27.4,33.4,*,27.3,*,99.99, ,1014.1
131,1947-02-17,25.9,33.4,*,27.3,*,99.99, ,1015.4
132,1947-02-18,12.8,34.3,*,13.5,*,99.99, ,1018.5
133,1947-02-19,1.7,23.4,*,4.5,*,0.0,I,1026.8
134,1947-02-20,13.3,26.4,*,19.4,*,99.99, ,1021.7
135,1947-02-21,11.3,24.4,*,17.4,*,99.99, ,1020.0
136,1947-02-22,7.7,22.5,*,10.4,*,0.0,I,1017.7
137,1947-02-23,4.2,16.3,*,10.4,*,99.99, ,1009.7
138,1947-02-24,14.3,30.4,*,12.4,*,99.99, ,1007.9
139,1947-02-25,21.7,30.4,*,25.3,*,99.99, ,1013.5
140,1947-02-26,21.4,31.3,*,22.5,*,99.99, ,1017.5
141,1947-02-27,9.8,24.4,*,10.4,*,99.99, ,1018.5
142,1947-02-28,8.3,29.3,*,8.4,*,0.0,I,1019.8
143,1947-03-01,17.6,27.3,*,22.5,*,99.99, ,1014.2
144,1947-03-02,20.6,28.4,*,21.4,*,99.99, ,1007.4
145,1947-03-03,17.4,28.4,*,21.4,*,99.99, ,1010.3
146,1947-03-04,12.3,34.3,*,8.4,*,0.0,I,1014.1
147,1947-03-05,16.1,34.3,*,15.4,*,0.0,I,1020.7
148,1947-03-06,23.3,35.4,*,23.4,*,0.0,I,1025.2
149,1947-03-07,23.0,32.4,*,28.4,*,99.99, ,1025.1
150,1947-03-08,20.3,33.4,*,24.4,*,99.99, ,1022.5
151,1947-03-09,20.9,35.4,*,20.3,*,0.0,I,1026.6
152,1947-03-10,21.9,41.4,*,20.3,*,0.0,I,1029.7
