"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-15","0.04","85",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-16","0.79","85","93",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-17","0.04","85","93","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-19","0.08","87","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-20","0.00","83",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-21","0.24","83","91","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-25",,"86",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-27","0.02","81","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-28","0.12","84","90","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-29","0.00","86",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-31","0.04","79","84","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-02","0.12","81","88","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-03","1.61","80","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-04","0.20","78","88","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-05",,"81","88","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-06","0.91","81","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-08","0.63","83","91","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-09","0.63","83","93",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-10","0.35","82",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-11","0.28","81",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-13","0.04","81",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-15","0.01","80","91","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-16","0.12","81","90","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-17","0.04","80","84","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-22","0.02","84","91","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-23",,"83","91","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-25","0.67","80",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-26","0.02","83","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-27","0.00","86","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-28",,"83","86",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-29",,"81",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-30","0.47","81","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-08-31","0.39","81","90","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-03","0.04","80",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-06","0.75","77","90","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-09","0.28","85",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-10","0.02","83","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-11","0.31","81","91","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-14","0.39","81","86","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-15","0.02","80","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-17","0.83","82","90","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-18","0.08","81","88","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-22",,"82","88","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-23","0.08","84","91","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-24","0.43","85","91","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-25","0.63","81","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-26","0.04","80","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-28",,"81","86",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-09-29","0.08","82","86","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-01","0.08","81","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-04","0.91","81","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-05","0.08","82","88","72"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-06","2.17","81","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-07","0.35","80","84","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-08","0.00","84","88","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-09","0.35","83","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-12","0.12","83",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-13","0.02","80","84","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-14","0.12","82",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-15","1.26","78","84","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-16","0.12","79","84","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-17","0.08","79","82","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-18","0.59","79","84","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-19","0.02","81","84",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-20","0.08","81",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-21","4.33","75",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-22","0.24","79",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-23","0.24","81","86","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-24","0.00","83","88",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-10-25","0.04","80","86",
